관측소명,GENNUM,관측소표준코드,최초설치,구분,설치년도,경도-도,경도-분,경도-초,위도-도,위도-분,위도-초,표고(El.m),심도(m)
진안덕현,771529,JB-JIN-E1-0003,수질,심부2,2014,,,,,,,364,80
진안덕현,771530,JB-JIN-E1-0001,수질,천부,2014,,,,,,,364,10
진안마령,65039,JB-JIN-L1-0001,국가,암반,1998,127,22,12,35,43,54,279.65,71
하동양보,82047,GN-HDG-L1-0005,국가,암반,2002,127,50,51,35,2,47,30.122,70
하동진정,,GN-HDG-E1-0002,수질,심부1,2011,127,49,29.95,34,59,9.62,17.7,30
하동진정,737728,GN-HDG-E1-0003,수질,심부2,2011,127,49,29.95,34,59,9.62,17.7,80
하동진정,737727,GN-HDG-E1-0001,수질,천부,2011,127,49,29.95,34,59,9.62,17.7,15
하동하동,11780,GN-HDG-L1-0001,국가,암반,1996,127,44,36,35,4,6,7.66,64
하동하동,11781,GN-HDG-L1-0002,국가,충적,1996,127,44,36,35,4,6,7.66,10.7
하동화개,73549,GN-HDG-L1-0003,국가,암반,2001,127,40,47,35,8,23,15.644,70
하동화개,73550,GN-HDG-L1-0004,국가,충적,2001,127,40,47,35,8,23,15.627,12
함평신광,9899,JN-HPG-L1-0001,국가,암반,1997,126,29,54,35,8,35,40.56,70
함평신광,9900,JN-HPG-L1-0002,국가,충적,1997,126,29,54,35,8,35,40.52,12.61
함평엄다,,JN-HPG-E1-0002,수질,심부1,2014,126,30,57.31,35,0,38.53,15,30
함평엄다,737730,JN-HPG-E1-0003,수질,심부2,2014,126,30,57.31,35,0,38.53,15,85
함평엄다,737729,JN-HPG-E1-0001,수질,천부,2014,126,30,57.31,35,0,38.53,15,10
함평운교,,JN-HPG-E1-0005,수질,심부1,2014,,,,,,,64,30
함평운교,771555,JN-HPG-E1-0006,수질,심부2,2014,,,,,,,64,80
함평운교,771556,JN-HPG-E1-0004,수질,천부,2014,,,,,,,64,10
함평월야,514308,JN-HPG-L1-0003,국가,암반,2010,127,37,27,35,11,59,30.67,100
함평월야,514309,JN-HPG-L1-0004,국가,충적,2010,127,37,27,35,11,59,30.67,15
함평월야2,,JN-HPG-E1-0009,수질,심부1,2017,126,37,30.25,35,10,49.99,30.43,30
함평월야2,737732,JN-HPG-E1-0010,수질,심부2,2017,126,37,30.25,35,10,49.99,30.43,80
함평월야2,737731,JN-HPG-E1-0008,수질,천부,2017,126,37,30.25,35,10,49.99,30.43,10
해남상가,,JN-HAE-E1-0002,수질,심부1,2013,,,,,,,76.683,30
해남상가,,JN-HAE-E1-0003,수질,심부2,2013,,,,,,,76.683,80
해남상가,,JN-HAE-E1-0001,수질,천부,2013,,,,,,,76.683,10
해남북일,771367,,,암반,2021,,,,,,,,
해남북일,771388,,,충적,2021,,,,,,,,
해남옥천,622084,JN-HAE-L1-0003,국가,암반,2014,126,38,35,34,36,37,11.19,100
해남우항,,JN-HAE-E1-0008,수질,심부1,2014,126,26,10.5,34,34,38.62,12,60
해남우항,737736,JN-HAE-E1-0009,수질,심부2,2014,126,26,10.5,34,34,38.62,12,90
해남우항,737735,JN-HAE-E1-0007,수질,천부,2014,126,26,10.5,34,34,38.62,12,30
해남해남,9901,JN-HAE-L1-0001,국가,암반,1997,126,35,35,34,33,16,48.76,76
해남현산,65599,JN-HAE-L1-0002,국가,암반,2000,126,35,13,34,25,35,14.074,70
해남화내,,JN-HAE-E1-0005,수질,심부1,2014,,,,,,,16,35
해남화내,771559,JN-HAE-E1-0006,수질,심부2,2014,,,,,,,16,85
해남화내,771560,JN-HAE-E1-0004,수질,천부,2014,,,,,,,16,10
화순남면,87258,JN-HSN-L1-0006,국가,암반,2004,127,7,22,34,59,51,113.14,70
화순능주,9902,JN-HSN-L1-0001,국가,암반,1997,126,57,16,35,0,54,42.77,62
화순능주,9903,JN-HSN-L1-0002,국가,충적,1997,126,57,16,35,0,54,42.8,6.4
화순독상,,JN-HSN-E1-0011,수질,심부1,2018,127,7,42.66,35,4,8.39,128.946,30
화순독상,737740,JN-HSN-E1-0012,수질,심부2,2018,127,7,42.66,35,4,8.39,128.923,80
화순독상,737739,JN-HSN-E1-0010,수질,천부,2018,127,7,42.66,35,4,8.39,128.832,10
화순북면,65080,JN-HSN-L1-0003,국가,암반,1999,127,8,21,35,11,26,260.319,70
화순원천,,JN-HSN-E1-0008,수질,심부1,2014,,,,,,,73.8,34.5
화순원천,771569,JN-HSN-E1-0009,수질,심부2,2014,,,,,,,73.8,80
화순원천,771570,JN-HSN-E1-0007,수질,천부,2014,,,,,,,73.8,15
화순이양,73530,JN-HSN-L1-0004,국가,암반,2001,127,1,57,34,51,40,96.312,70
화순이양,73531,JN-HSN-L1-0005,국가,충적,2001,127,1,57,34,51,40,96.322,10
화순이천,,JN-HSN-E1-0002,수질,심부1,2011,127,8,0.83,35,10,9.31,229.5,30
화순이천,737742,JN-HSN-E1-0003,수질,심부2,2011,127,8,0.83,35,10,9.31,229.5,80
화순이천,737741,JN-HSN-E1-0001,수질,천부,2011,127,8,0.83,35,10,9.31,229.5,17
화순천암,,JN-HSN-E1-0005,수질,심부1,2014,126,54,29.82,35,0,45.14,32.95,30
화순천암,737744,JN-HSN-E1-0006,수질,심부2,2014,126,54,29.82,35,0,45.14,32.95,80
화순천암,737743,JN-HSN-E1-0004,수질,천부,2014,126,54,29.82,35,0,45.14,32.95,10
